,customerid,Country,State,LGA
77,8a858f6057e2dba50157f3558ac902d4,Nigeria,Imo,Aboh-Mbaise
78,8a858e885c63d379015c730aa5f46f8b,Nigeria,Lagos,Ojo
79,8a858e9156e137c601570b4d23a949fc,Nigeria,Kaduna,Chikun
80,8a858fd35b5dfefb015b5e18a7ee15aa,Nigeria,Lagos,Eti-Osa
81,8a858eea5c82f136015c82f59f3201c7,Nigeria,Ogun,Abeokuta South
82,8a858f305c8dd672015c9439eb1c6964,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
83,8a858f7e5c69a6e3015c74334d791005,Nigeria,Lagos,Oshodi-Isolo
84,8a858f8e597cf3f401598353f79a7171,Nigeria,Ogun,Ifo
85,8a858e6a5bfd4b54015c067c589f44c6,Nigeria,Ogun,Abeokuta South
86,8a858fa257d8223c0157e3c2a5e45d82,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
87,8a8589005384ab570153880ceba74594,Nigeria,Lagos,Eti-Osa
88,8a8588dc536a1413015375acd19d4154,Nigeria,Lagos,Eti-Osa
89,8a858e225c404292015c4f19fdfb148a,Nigeria,Lagos,Ikeja
90,8a858e865bd4175e015bd85ed8ed6940,Nigeria,Lagos,Ikeja
91,8a858f73594ab1ea01595e72de584bca,United Kingdom,Derry,
92,8a858eb4588604f701589b300e2768ee,Nigeria,Oyo,Ibadan South West
93,8a858ff5562dc3b601562e96135108e3,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
94,8a858fdc57b91cfc0157d2d576b01016,Nigeria,Lagos,Ifako-Ijaye
95,8a858ef45cd09b8c015cd4d82f22728d,Nigeria,Lagos,Shomolu
96,8a858f1b5b256bc9015b2f7ff2d860fb,Nigeria,Ekiti,Ekiti South West
97,8a858f725b49c0c0015b4de5320b0e90,Nigeria,Nassarawa,Keffi
98,8a858fc75cd62882015ce0364fc515ca,Nigeria,Osun,Olorunda
99,8a858e205af28299015af2acd2ff06a6,Nigeria,Lagos,Lagos Island
100,8a858ed457a040d30157b40881a25091,Nigeria,Ogun,Abeokuta South
101,8a858f2a5b3f2121015b42331f955db2,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
102,8a858e285ba4bf33015ba50277171d93,Nigeria,Rivers,Port-Harcourt
103,8a858e225c404292015c4bc05b45616d,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
104,8a858ee755a0c84a0155b50a08352311,Nigeria,Federal Capital Territory,Bwari
105,8a8588f754a058cb0154b922d7fe1ffd,Nigeria,Ogun,Abeokuta South
106,8a858f305c8dd672015c92b0711a3333,Nigeria,Lagos,Lagos Island
107,8a858f7e5c886ca9015c89471cef5b44,Nigeria,Kwara,Ilorin East
108,8a858e685c217d36015c2fedb165662b,Nigeria,Ogun,Abeokuta South
109,8a858f5d5963fbb701597473936c208a,Nigeria,Ondo,Ondo West
110,8a858fd85b685607015b70cf46b509b2,Nigeria,Lagos,Eti-Osa
111,8a858fa154e2912f01551033886c784b,Nigeria,Lagos,Ikeja
112,8a858e5357d823010157ddcb238e0d02,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
113,8a8588fd53f1099e01540ec7527b308c,Nigeria,Imo,Owerri North
114,8a858eba5c884d2a015c8bea59385157,Nigeria,Lagos,Ikorodu
115,8a8588235384a58d0153a80649f43890,Nigeria,Lagos,Ikeja
116,8a858e415c5a2000015c5a85158e2fd3,Nigeria,Ekiti,Ado Ekiti
117,8a858f11594a388001595ad3f6c06395,Nigeria,Rivers,Bonny
118,8a8588dd54a3ead30154ada314c44e09,Nigeria,Kaduna,Kaduna South
119,8a85886f54517ee0015470749d3c3ce7,Nigeria,Edo,Ikpoba-Okha
120,8a858e5856b7840c0156c2db475368e4,Nigeria,Osun,Irewole
121,8a858eda552adcc2015553a6385628e7,Nigeria,Lagos,Shomolu
122,8a858ee45beda286015befb09fca0d6f,Nigeria,Lagos,Amuwo-Odofin
123,8a858e885c63d379015c682355b72343,Nigeria,Lagos,Ibeju/Lekki
124,8a858f955cc6631f015ccabe708129ed,Nigeria,Anambra,Onitsha North
125,8a858eda5c8863ff015c911534db43b8,Nigeria,Lagos,Surulere
126,8a858e0256b781d80156d77deb7222b8,Nigeria,Lagos,Oshodi-Isolo
127,8a858f1f5c834d4f015c85f0235d6562,Nigeria,Lagos,Eti-Osa
128,8a858fd45a4260bc015a469e3c74060a,Nigeria,Ogun,Ijebu North
129,8a8589b953bc23f70153c871f9e25781,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
130,8a8589b953bc23f70153c79a4b241b3d,Nigeria,Lagos,Surulere
131,8a858f035ab947e3015abdb1094c6d45,Nigeria,Lagos,Eti-Osa
132,8a858f1f586c8fc801586cc4516e1b5c,Nigeria,Rivers,Obio/Akpor
133,8a858fc65d138f01015d14ba1ceb685b,Nigeria,Ogun,Ifo
134,8a858ef35d0cff86015d0d51923d2548,Nigeria,Lagos,Ifako-Ijaye
135,8a858fe758dc437a0158eb12515362d4,Nigeria,Oyo,Ibadan North
136,8a858e425d5c1d76015d5fd6a1004453,Nigeria,Lagos,Eti-Osa
137,8a858f74584a54aa015854d6e7027ac1,Nigeria,Ogun,Obafemi-Owode
138,8a858fca5c35df2c015c39ad8695343e,,,
139,8a858ffe5ab2b16a015ab3180c915303,Nigeria,Lagos,Apapa
140,8a858fe55656a93801565e0c6d4575d6,Nigeria,Anambra,Onitsha North
141,8a8589f853f100fb015409cd02170e67,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
142,8a858f5d5963fbb701596945e671298c,Nigeria,Lagos,Oshodi-Isolo
143,8a858ea75ba01fdf015ba4313c283d37,Nigeria,Imo,Owerri North
144,8a858fee5863a049015864ec37223d8b,Nigeria,Ekiti,Ado Ekiti
145,8a858f305c8dd672015c9cc94b4c2adb,Nigeria,Lagos,Ikeja
146,8a8589b953bc23f70153ccc3fd3519c7,Nigeria,Osun,Ede North
147,8a858ebc5bd450fe015bd5375abb3175,Nigeria,Imo,Owerri West
148,8a858fcf558237b401558b07734101d6,Nigeria,Lagos,Mushin
149,8a858f98560bbe110156217f2b324081,Nigeria,Lagos,Ojo
150,8a858f1b5b256bc9015b2f5280ff57dd,Nigeria,Ogun,Abeokuta South
151,8a858f9f5bd99987015be35f3b5730fe,Nigeria,Lagos,Lagos Island
152,8a858ed55c63db54015c705c10a864c9,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
153,8a858e595b42b641015b42bed45707ec,Nigeria,Lagos,Oshodi-Isolo
154,8a858eda5984353b01598957192919d7,Nigeria,Oyo,Oluyole
155,8a858f0c57d3fe8e0157dcd14f854fb7,Nigeria,Oyo,Ibadan North
156,8a8589d754a05c0a0154a492f1746b13,Nigeria,Ondo,Akure North
157,8a8588f6548fb0c20154957369615d27,Nigeria,Lagos,Ikorodu
158,8a858e035b62dff0015b63c73aba6d9a,Nigeria,Kano,Fagge
159,8a858fca5c35df2c015c39ad8695343e,,,
160,8a858e36590808e301592ae6ca1a0f3b,Nigeria,Anambra,Ihiala
161,8a858fc259d7378a0159da1f629a0741,Nigeria,Oyo,Ibadan South West
162,8a85890754145ace015429211b513e16,Nigeria,Oyo,Akinyele
163,8a858eaf570f3a0a01571e1288e00047,Nigeria,Kaduna,Kaduna North
164,8a858f505c7e3a50015c81f70ee35ff5,Nigeria,Ogun,Abeokuta South
165,8a858e3c5cac9fcc015cb09fdd925a5a,Nigeria,Ogun,Abeokuta North
166,8a858e51584a1fc70158595f611e49e6,Nigeria,Ogun,Ado-Odo/Ota
167,8a858e6a5bfd4b54015c0297d9ee75fb,Nigeria,Osun,Osogbo
168,8a858e035693e02901569984732a33ea,Nigeria,Akwa Ibom,Uyo
169,8a858e105bd92644015be762bf10576f,Nigeria,Lagos,Alimosho
170,8a8589045384bd8301539e05b3d35023,Nigeria,Lagos,Alimosho
171,8a858e285aa8cfc1015aa8fd90951f5a,Nigeria,Benue,Makurdi
172,8a858ebb5a18039b015a183953ea16cc,Nigeria,Kano,Nasarawa
173,8a858e6f5668e01701567479d1ae3320,Nigeria,Lagos,Ikeja
174,8a858e2159f3c9030159f4336f1925f4,Nigeria,Rivers,Obio/Akpor
175,8a858e135cb22031015cb7f9700e06f8,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
176,8a858f54589736f401589857085e3b5b,Nigeria,Osun,Ife Central
177,8a858e475c127bce015c1a358a222097,Nigeria,Lagos,Eti-Osa
178,8a858966538deb190153a3e3cce916e9,Nigeria,Lagos,Kosofe
179,8a858fcb5ca240f7015ca6656e972612,Nigeria,Ogun,Shagamu
180,8a858fe45cd62cbf015ce93a8a26355d,Nigeria,Rivers,Port-Harcourt
181,8a858e885b68546c015b736088184034,Nigeria,Rivers,Obio/Akpor
182,8a858f935ca09667015ca0ee3bc63f51,Nigeria,Oyo,Egbeda
183,8a858e495cef1ef1015cf16757660080,Nigeria,Lagos,Eti-Osa
184,8a858e235be813f6015be923ff0d621f,Nigeria,Lagos,Ikeja
185,8a858ea35a5b46ec015a5d1596805e48,Nigeria,Lagos,Ikeja
186,8a858f5c5bfc7082015bfc91ab1c169b,Nigeria,Ogun,Ifo
187,8a858faf55d95d930155db6ec1274592,Nigeria,Lagos,Kosofe
188,8a858edf594a45ed01594bd668493b10,Nigeria,Lagos,Apapa
189,8a858fa25c120898015c16abe1cb45f4,Nigeria,Kaduna,Kaduna South
190,8a858f5e5cf45779015cf47ed8db1872,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
191,8a858e335d1dd902015d2c79c1c6425b,Nigeria,Lagos,Ikeja
192,8a858eba5c884d2a015c887b946e2236,Nigeria,Ogun,Ado-Odo/Ota
193,8a858ee75afc09f4015aff3cdad86a6f,Nigeria,Lagos,Ikorodu
194,8a858e425700714c015700c9da261e46,Nigeria,Lagos,Alimosho
195,8a858fb15b34a708015b37eeb86e0008,Nigeria,Lagos,Ikeja
196,8a858fd75ba49873015ba4e0e0881d32,Nigeria,Lagos,Kosofe
197,8a858f1f58716185015877272a5b5d18,Nigeria,Kaduna,Kaduna North
198,8a858fd85b685607015b75bab2977053,Nigeria,Lagos,Ojo
199,8a858f8e5d0dc74e015d0de015760ef2,Nigeria,Ogun,Obafemi-Owode
200,8a858ed159fabcd30159fb47c7062202,Nigeria,Oyo,Ibadan South West
201,8a858f74584a54aa015862440ad90e4d,Nigeria,Ogun,Ifo
202,8a858f955a61ad4e015a669234707a25,Nigeria,Lagos,Amuwo-Odofin
203,8a858f25584470aa015852a3fee27b75,Nigeria,Oyo,Afijio
204,8a85889853f0fbaa0153f22d15cc4a8b,Nigeria,Oyo,Ido
205,8a858ef258d4a48b0158dac227745fc0,Nigeria,Oyo,Ibadan South West
206,8a858f465668e3d60156731df06205ef,Nigeria,Oyo,Oluyole
207,8a858e445ca25ee3015ca6262dd83aaf,Nigeria,Lagos,Lagos Mainland
208,8a858e195b90e512015b99fbb1dc677a,Nigeria,Kano,Gwale
209,8a858e6f5668e0170156849effb35b01,Nigeria,Lagos,Kosofe
210,8a858f2c5ca72bae015ca8b479831073,Nigeria,Enugu,Enugu South
211,8a858f1554e294490154f1aed36c042f,Nigeria,Ogun,Ado-Odo/Ota
212,8a858e345bd96da8015bdf75f0096214,Nigeria,Ogun,Ifo
213,8a858e1d5cd58f9e015ce109b14c577e,Nigeria,Ogun,Abeokuta South
214,8a858fc959cbd1500159cf7081f02d60,Nigeria,Bayelsa,Yenegoa
215,8a858f5f5a3d03ab015a3ebc0fd0071d,Nigeria,Lagos,Ikorodu
216,8a858ff455a09f5a0155aaa450751528,Nigeria,Lagos,Ikorodu
217,8a858e495cef1ef1015cf07cc48170e6,Nigeria,Lagos,Shomolu
218,8a858f4c5bb597f6015bc01898fd0584,Nigeria,Lagos,Ikeja
219,8a858f0f5bfd79d2015c08e9cd6269a1,Nigeria,Lagos,Mushin
220,8a858e1b59fa11590159fa2239010639,Nigeria,Lagos,Shomolu
221,8a858e3e5b3ee747015b3ee854f7012f,Nigeria,Jigawa,Dutse
222,8a858faf5c5ec14b015c5efb738127a6,Nigeria,Oyo,Ido
223,8a858ef7599330e0015993c3e1af2ecc,Nigeria,Lagos,Surulere
224,8a858ec55ca7919d015caa963ddc6e81,Nigeria,Ogun,Odogbolu
225,8a858e705b3a03c7015b3b10e6ae5eda,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
226,8a858fcd56b9f22c0156d01a97452dcb,Nigeria,Lagos,Alimosho
227,8a858fe8555f401f015567a0cca24f03,Nigeria,Rivers,Obio/Akpor
228,8a858f295c8d307f015c9e4f9b771eed,Nigeria,Lagos,Oshodi-Isolo
229,8a858ffa55ca72a50155e936d7ad5bf5,Nigeria,Kwara,Ilorin West
230,8a858f4f5511dca2015516c435bf3d6a,Nigeria,Lagos,Alimosho
231,8a858e0758715ccc0158716bbc9704d7,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
232,8a858ed75bc9016e015bcd6b0f6b5069,Nigeria,Lagos,Lagos Island
233,8a858e69566ae5b8015684f4642c1f37,Nigeria,Lagos,Shomolu
234,8a858f1b5a601b5a015a609f5b984127,Nigeria,Oyo,Ibarapa Central
235,8a858ff257048b500157048be2250029,Nigeria,Lagos,Oshodi-Isolo
236,8a858fa4552add9f01553ae253297cb7,Nigeria,Rivers,Obio/Akpor
237,8a8588fd53c244bc0153c74fad72587f,Nigeria,Lagos,Amuwo-Odofin
238,8a858e615c832be8015c86f0d1082a70,Nigeria,Lagos,Ikeja
239,8a858f965bb63a25015bc22b915e62f1,Nigeria,Delta,Warri South
240,8a858f225bfdb280015c0e31ce624cd8,Nigeria,Ogun,Ado-Odo/Ota
241,8a858f615623747d015626ec13826718,Nigeria,Ogun,Ifo
242,8a85898a53d0af400153d7dc5cc22b9f,Nigeria,Oyo,Lagelu
243,8a858fab5b9105dc015ba13ec2a57a0a,Nigeria,Ogun,Ifo
244,8a858f305c8dd672015c9b7a60f96231,Nigeria,Kogi,Okene
245,8a858e035693e02901569484c15f3bf1,Nigeria,Kaduna,Kaduna South
246,8a858f9d5a8a79c5015a8baaaafb7213,Nigeria,Lagos,Eti-Osa
247,8a858e905ce98e8d015ce9cfdf3f2053,Nigeria,Lagos,Mushin
248,8a858e64586254230158665e299575fb,Nigeria,Niger,Suleja
249,8a858f1b5ab8c83d015ab8c890820023,Nigeria,Lagos,Ifako-Ijaye
250,8a858f265c1c393e015c1e2abc1146aa,Nigeria,Enugu,Enugu East
251,8a858fed5cabd3a0015cabd44ace0079,Nigeria,Kano,Ungogo
252,8a858fab5cd5e1a7015cd624bb8b1f08,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
253,8a858e7b55deef140155e587fc3b63ba,Nigeria,Ogun,Ifo
254,8a858eda5c8863ff015c889d784b197f,Nigeria,Lagos,Eti-Osa
255,8a858fe8555f401f01555f4a125f01ac,Nigeria,Lagos,Ojo
256,8a858e985ccb51e8015ccb62ac37072a,Nigeria,Lagos,Oshodi-Isolo
257,8a858ffd5c8d343d015c98e84c9c2a13,Nigeria,Oyo,Lagelu
258,8a858eba5c884d2a015c96f9eed0608d,Nigeria,Lagos,Kosofe
259,8a858f0b5b439ebb015b43cf463d3e39,Nigeria,Plateau,Jos South
260,8a858899538ddb8e01539893f3b86ee7,Nigeria,Oyo,Ido
261,8a858e245c214660015c2a00339953d3,Nigeria,Oyo,Akinyele
262,8a858e245c214660015c2c27234403a9,Nigeria,Federal Capital Territory,Gwagwalada
263,8a858fa257d8223c0157d8a5a7197d2b,Nigeria,Kwara,Ilorin West
264,8a8588235375c27f01537601102f108c,Nigeria,Lagos,Oshodi-Isolo
265,8a858f98560bbe11015611ef84820b47,Nigeria,Lagos,Mushin
266,8a858f555cc65d60015cc8c9b8a84631,Nigeria,Lagos,Alimosho
267,8a858ff45be92ea2015bebd3d5dc7770,Nigeria,Ogun,Odogbolu
268,8a8589b7535abdb201535beac38a2006,Nigeria,Oyo,Ido
269,8a858f595ccb6f86015cced9f57a03d6,Nigeria,Nassarawa,Karu
270,8a858f585a6a60cc015a6a8d08ab1e9e,Nigeria,Ondo,Akure North
271,8a858f795896e56b0158972775f12556,Nigeria,Lagos,Eti-Osa
272,8a858edd57f790040157ffe9b6ed3fbb,,,
273,8a858fc55b2fde30015b300d85e20ef2,Nigeria,Kwara,Ilorin East
274,8a858eab5cf9c4c8015d0c94428b2976,Nigeria,Osun,Osogbo
275,8a858fa45bd95e9a015be40e410c1ad4,Nigeria,Lagos,Eti-Osa
276,8a858f8d5b632706015b65e38374135f,Nigeria,Ogun,Abeokuta South
277,8a858fa05cf48427015cf87f3c491e8b,Nigeria,Lagos,Kosofe
278,8a858ff35acdd593015acf094819393e,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
279,8a85889853f0fbaa01540f0d556f0ec3,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
280,8a858f1955b1c4df0155bc7e4d2773e1,Nigeria,Lagos,Kosofe
281,8a8589da5410287f01541a012bf23abb,Nigeria,Lagos,Surulere
282,8a858eac5ad81473015ad8f0682934f3,Nigeria,Lagos,Ikeja
283,8a858f6f5b3f095b015b420385286ad0,Nigeria,Lagos,Kosofe
284,8a858fe7568ed7420156920bff565cc7,Nigeria,Rivers,Obio/Akpor
285,8a85892854be331a0154c7f8abdb669b,Nigeria,Lagos,Ifako-Ijaye
286,8a858fb959976ce001599c31ae157981,Nigeria,Enugu,Enugu North
287,8a858ee25b34d796015b3562b4bb4ad4,Nigeria,Lagos,Eti-Osa
288,8a858f8a5a424041015a467fa9ea3240,Nigeria,Kogi,Lokoja
289,8a858f785cea234f015cea434e0a09e6,Nigeria,Lagos,Ikorodu
290,8a858966538deb190153a7e5cb937e06,Nigeria,Oyo,Ido
291,8a858e365c16bcef015c16d0f1a50a32,Nigeria,Oyo,Ibadan North West
292,8a858e6956939bac015695667dc84376,Nigeria,Lagos,Ikeja
293,8a858eef5554890501556a2471a71e26,Nigeria,Lagos,Agege
294,8a858ee05a6b7d75015a704d99b22ed7,Nigeria,Rivers,Obio/Akpor
295,8a858f6e5cb16eb9015cba9514502da3,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
296,8a858f3e589c40610158b48a71b430d3,Nigeria,Lagos,Ifako-Ijaye
297,8a858f6a5d1e09b3015d2b9c63ee790e,Nigeria,Lagos,Eti-Osa
298,8a858f955775750801577ba5e370562e,Nigeria,Lagos,Alimosho
299,8a858f975c4582c4015c4a3c945e2599,Nigeria,Oyo,Akinyele
300,8a858fa25cfa127c015d0701d6ad4f46,Nigeria,Lagos,Mushin
301,8a8589a453bc422d0153c993db2604b6,Nigeria,Kano,Nasarawa
302,8a858f5856373f8801563b682f941356,Nigeria,Lagos,Alimosho
303,8a858fbb5bf26814015bf27f571811dd,Nigeria,Lagos,Ifako-Ijaye
304,8a858e3e5922ba43015960f173140164,Nigeria,Ogun,Ewekoro
305,8a858f60560bc43d015612f6e11767d6,Nigeria,Lagos,Ojo
306,8a858f9b5a42e52f015a45ea99c56a99,Nigeria,Ondo,Akure South
307,8a858e42570314e00157062a120e6345,Nigeria,Lagos,Ifako-Ijaye
308,8a85887d53675f4f015379a44783264e,Nigeria,Lagos,Mushin
309,8a858fa459e0a1340159e1f07d045910,Nigeria,Lagos,Eti-Osa
310,8a858f6057e2dba50157edb735e75aaf,Nigeria,Ebonyi,Ebonyi
311,8a858ff85bd93919015be27b9f421e8b,Nigeria,Lagos,Eti-Osa
312,8a858f365c83961c015c87a053cb5b39,Nigeria,Federal Capital Territory,Gwagwalada
313,8a858f3a58a6d6720158b0d75ed070f2,Nigeria,Lagos,Alimosho
314,8a858fdb5b8094e2015b80ac5cd70f9f,Nigeria,Rivers,Obio/Akpor
315,8a858e6f5668e01701568175112b2522,Nigeria,Lagos,Ojo
316,8a858e1e54e2aa5a0154e7e0494068e1,Nigeria,Lagos,Mushin
317,8a858ec75bfd77c4015bff1610173ed1,Nigeria,Lagos,Badagry
318,8a858e0256b781d80156c257b79f0ac0,Nigeria,Lagos,Ikeja
319,8a858ed45c454c11015c505b357c147d,Nigeria,Lagos,Oshodi-Isolo
320,8a858eba5591bf280155987d3c73182f,Nigeria,Lagos,Kosofe
321,8a858e505baa530d015baa644c9b0d58,Nigeria,Osun,Olorunda
322,8a858fa3552ae1120155398656a154c3,Nigeria,Lagos,Ifako-Ijaye
323,8a858e165b90faf9015b9ed99b3e0c2d,Nigeria,Lagos,Ikorodu
324,8a858f355ac88945015aca084ee050c2,Nigeria,Lagos,Badagry
325,8a858f3a58b5b0fe0158b6ca51f756ce,Nigeria,Bayelsa,Yenegoa
326,8a858f475c11bc72015c131399ff0768,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
327,8a858f335cd0c78e015cd10d78b316c0,Nigeria,Lagos,Alimosho
328,8a858ee758b4c54a0158cafdc6c6740f,Nigeria,Lagos,Ikeja
329,8a8588f35451808f015475d4e4432f4f,Nigeria,Kaduna,Igabi
330,8a858e215c7de5f2015c81ce4f5e4902,Nigeria,Kogi,Lokoja
331,8a858e395cb1d4d9015cc067ecea501f,Nigeria,Oyo,Ibadan South West
